,stationCode,station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical,ebike
358,20119,26958435,0,0,"[{'mechanical': 0}, {'ebike': 0}]",25,25,1,1,1,1669293636,0,0
359,19019,6385,4,4,"[{'mechanical': 2}, {'ebike': 2}]",17,17,1,1,1,1669293693,2,2
360,21403,213857398,1,1,"[{'mechanical': 0}, {'ebike': 1}]",12,12,1,1,1,1669293634,0,1
361,42207,82550925,4,4,"[{'mechanical': 2}, {'ebike': 2}]",33,33,1,1,1,1669293734,2,2
362,12030,27363096,5,5,"[{'mechanical': 4}, {'ebike': 1}]",27,27,1,1,1,1669293530,4,1
363,20036,129119449,0,0,"[{'mechanical': 0}, {'ebike': 0}]",18,18,1,1,1,1669293620,0,0
364,92003,475524450,14,14,"[{'mechanical': 10}, {'ebike': 4}]",10,10,1,1,1,1669293597,10,4
365,5119,653048150,32,32,"[{'mechanical': 27}, {'ebike': 5}]",8,8,1,1,1,1669293673,27,5
366,35009,244400797,0,0,"[{'mechanical': 0}, {'ebike': 0}]",20,20,1,1,1,1669293730,0,0
367,31705,213922790,5,5,"[{'mechanical': 1}, {'ebike': 4}]",44,44,1,1,1,1669293657,1,4
368,8055,129001431,1,1,"[{'mechanical': 0}, {'ebike': 1}]",30,30,1,1,1,1669293603,0,1
369,13014,210753033,11,11,"[{'mechanical': 8}, {'ebike': 3}]",1,1,1,1,1,1669293742,8,3
370,27002,653203262,20,20,"[{'mechanical': 15}, {'ebike': 5}]",8,8,1,1,1,1669293701,15,5
371,21109,406806401,1,1,"[{'mechanical': 0}, {'ebike': 1}]",27,27,1,1,1,1669293247,0,1
372,20120,85143075,4,4,"[{'mechanical': 0}, {'ebike': 4}]",26,26,1,1,1,1669293725,0,4
373,23701,1063035479,1,1,"[{'mechanical': 0}, {'ebike': 1}]",23,23,1,1,1,1669293411,0,1
374,17007,54000595,2,2,"[{'mechanical': 2}, {'ebike': 0}]",32,32,1,1,1,1669293490,2,0
375,21502,82571110,1,1,"[{'mechanical': 0}, {'ebike': 1}]",24,24,1,1,1,1669293271,0,1
376,14001,54000582,1,1,"[{'mechanical': 1}, {'ebike': 0}]",26,26,1,1,1,1669293298,1,0
377,31012,217235307,0,0,"[{'mechanical': 0}, {'ebike': 0}]",24,24,1,1,1,1669293721,0,0
378,12126,210748575,0,0,"[{'mechanical': 0}, {'ebike': 0}]",51,51,1,1,1,1669293396,0,0
379,12024,82421994,34,34,"[{'mechanical': 28}, {'ebike': 6}]",0,0,1,1,1,1669293530,28,6
380,16129,129086648,5,5,"[{'mechanical': 4}, {'ebike': 1}]",37,37,1,1,1,1669293664,4,1
381,35019,217572769,1,1,"[{'mechanical': 1}, {'ebike': 0}]",26,26,1,1,1,1669293735,1,0
382,14104,214298601,2,2,"[{'mechanical': 1}, {'ebike': 1}]",21,21,1,1,1,1669293463,1,1
383,20113,129125489,0,0,"[{'mechanical': 0}, {'ebike': 0}]",21,21,1,1,1,1669293639,0,0
384,41604,214122655,21,21,"[{'mechanical': 17}, {'ebike': 4}]",9,9,1,1,1,1669293255,17,4
385,15017,82458977,2,2,"[{'mechanical': 1}, {'ebike': 1}]",20,20,1,1,1,1669293706,1,1
386,15029,129077035,14,14,"[{'mechanical': 14}, {'ebike': 0}]",37,37,1,1,1,1669293392,14,0
387,31702,221047138,1,1,"[{'mechanical': 0}, {'ebike': 1}]",16,16,1,1,1,1669293492,0,1
388,5002,15308782,32,32,"[{'mechanical': 20}, {'ebike': 12}]",0,0,1,1,1,1669293718,20,12
389,18005,216473073,3,3,"[{'mechanical': 0}, {'ebike': 3}]",15,15,1,1,1,1669293393,0,3
390,10005,37521,9,9,"[{'mechanical': 6}, {'ebike': 3}]",6,6,1,1,1,1669293646,6,3
391,13104,35196898,0,0,"[{'mechanical': 0}, {'ebike': 0}]",27,27,1,0,0,1642540077,0,0
392,5116,653046029,29,29,"[{'mechanical': 26}, {'ebike': 3}]",4,4,1,1,1,1669293594,26,3
393,92004,2515976231,19,19,"[{'mechanical': 10}, {'ebike': 9}]",0,0,1,1,1,1669293381,10,9
394,18020,129103849,4,4,"[{'mechanical': 1}, {'ebike': 3}]",15,15,1,1,1,1669293654,1,3
395,20136,1057009034,2,2,"[{'mechanical': 0}, {'ebike': 2}]",24,24,1,1,1,1669293613,0,2
396,5026,82334007,1,1,"[{'mechanical': 1}, {'ebike': 0}]",46,46,1,1,1,1669293609,1,0
397,43006,214146056,10,10,"[{'mechanical': 9}, {'ebike': 1}]",19,19,1,1,1,1669293542,9,1
398,17018,15461933,13,13,"[{'mechanical': 6}, {'ebike': 7}]",4,4,1,0,0,1669293694,6,7
399,15028,85008390,32,32,"[{'mechanical': 24}, {'ebike': 8}]",38,38,1,1,1,1669293731,24,8
400,8102,216039437,25,25,"[{'mechanical': 12}, {'ebike': 13}]",1,1,1,1,1,1669293735,12,13
401,8012,215495494,2,2,"[{'mechanical': 0}, {'ebike': 2}]",42,42,1,1,1,1669293734,0,2
402,14018,43155320,1,1,"[{'mechanical': 1}, {'ebike': 0}]",47,47,1,1,1,1669293740,1,0
403,21013,129130397,2,2,"[{'mechanical': 1}, {'ebike': 1}]",18,18,1,1,1,1669293625,1,1
404,42503,653129412,1,1,"[{'mechanical': 0}, {'ebike': 1}]",28,28,1,1,1,1669293586,0,1
405,23011,54000634,6,6,"[{'mechanical': 2}, {'ebike': 4}]",16,16,1,1,1,1669293695,2,4
406,21111,419381597,19,19,"[{'mechanical': 18}, {'ebike': 1}]",30,30,1,1,1,1669293617,18,1
407,7014,27414601,22,22,"[{'mechanical': 17}, {'ebike': 5}]",17,17,1,1,1,1669293705,17,5
408,7006,54000548,26,26,"[{'mechanical': 22}, {'ebike': 4}]",1,1,1,1,1,1669293645,22,4
409,2010,54000466,26,26,"[{'mechanical': 16}, {'ebike': 10}]",1,1,1,1,1,1669293741,16,10
410,11114,426772876,7,7,"[{'mechanical': 4}, {'ebike': 3}]",23,23,1,1,1,1669293655,4,3
411,20040,74620630,2,2,"[{'mechanical': 0}, {'ebike': 2}]",24,24,1,1,1,1669293586,0,2
412,17017,129091653,1,1,"[{'mechanical': 0}, {'ebike': 1}]",33,33,1,1,1,1669293561,0,1
413,8101,100905057,12,12,"[{'mechanical': 3}, {'ebike': 9}]",9,9,1,1,1,1669293742,3,9
414,21105,129134084,6,6,"[{'mechanical': 4}, {'ebike': 2}]",19,19,1,1,1,1669293641,4,2
415,34002,11004671601,9,9,"[{'mechanical': 8}, {'ebike': 1}]",16,16,1,1,1,1669293721,8,1
416,13026,210754072,6,6,"[{'mechanical': 2}, {'ebike': 4}]",26,26,1,1,1,1669293705,2,4
417,23002,419991048,39,39,"[{'mechanical': 30}, {'ebike': 9}]",11,11,1,1,1,1669293722,30,9
418,14139,2820744873,3,3,"[{'mechanical': 2}, {'ebike': 1}]",26,26,1,1,1,1669293729,2,1
419,13102,213676825,44,44,"[{'mechanical': 32}, {'ebike': 12}]",6,6,1,1,1,1669293562,32,12
420,11101,15299574,4,4,"[{'mechanical': 2}, {'ebike': 2}]",39,39,1,1,1,1669293416,2,2
421,15055,41566122,8,8,"[{'mechanical': 7}, {'ebike': 1}]",43,43,1,1,1,1669293703,7,1
422,14130,963786819,0,0,"[{'mechanical': 0}, {'ebike': 0}]",30,30,1,1,1,1669293546,0,0
423,10015,427678168,4,4,"[{'mechanical': 1}, {'ebike': 3}]",38,38,1,1,1,1669293482,1,3
424,41207,976762284,11,11,"[{'mechanical': 2}, {'ebike': 9}]",17,17,1,1,1,1669293698,2,9
425,16006,213686196,6,6,"[{'mechanical': 0}, {'ebike': 6}]",13,13,1,1,1,1669293741,0,6
426,10023,129036192,2,2,"[{'mechanical': 2}, {'ebike': 0}]",10,10,1,1,1,1669293629,2,0
427,12011,82421013,14,14,"[{'mechanical': 11}, {'ebike': 3}]",19,19,1,1,1,1669293599,11,3
428,21308,434419150,27,27,"[{'mechanical': 15}, {'ebike': 12}]",8,8,1,1,1,1669293741,15,12
429,21019,252339799,12,12,"[{'mechanical': 4}, {'ebike': 8}]",15,15,1,1,1,1669293618,4,8
430,6018,224589573,13,13,"[{'mechanical': 8}, {'ebike': 5}]",5,5,1,1,1,1669293509,8,5
431,12032,220502135,30,30,"[{'mechanical': 25}, {'ebike': 5}]",6,6,1,1,1,1669293730,25,5
432,19037,129114993,1,1,"[{'mechanical': 0}, {'ebike': 1}]",30,30,1,1,1,1669293549,0,1
433,20109,129124069,1,1,"[{'mechanical': 1}, {'ebike': 0}]",20,20,1,1,1,1669293586,1,0
434,6107,221094844,9,9,"[{'mechanical': 7}, {'ebike': 2}]",14,14,1,1,1,1669293738,7,2
435,6103,220726050,20,20,"[{'mechanical': 10}, {'ebike': 10}]",33,33,1,1,1,1669293690,10,10
436,15038,254224239,6,6,"[{'mechanical': 3}, {'ebike': 3}]",57,57,1,1,1,1669293581,3,3
437,21032,1805401614,26,26,"[{'mechanical': 22}, {'ebike': 4}]",1,1,1,1,1,1669293739,22,4
438,19109,129116697,0,0,"[{'mechanical': 0}, {'ebike': 0}]",17,17,1,1,1,1669293644,0,0
439,31019,977409509,1,1,"[{'mechanical': 1}, {'ebike': 0}]",36,36,1,1,1,1669293659,1,0
440,32014,653055049,15,15,"[{'mechanical': 8}, {'ebike': 7}]",18,18,1,1,1,1669293529,8,7
441,18032,221041655,3,3,"[{'mechanical': 3}, {'ebike': 0}]",52,52,1,1,1,1669293476,3,0
442,17124,1057769632,4,4,"[{'mechanical': 3}, {'ebike': 1}]",21,21,1,1,1,1669293462,3,1
443,44012,1333959209,2,2,"[{'mechanical': 0}, {'ebike': 2}]",17,17,1,1,1,1669293278,0,2
444,17027,213690256,5,5,"[{'mechanical': 2}, {'ebike': 3}]",41,41,1,1,1,1669293740,2,3
445,10165,476183970,3,3,"[{'mechanical': 1}, {'ebike': 2}]",32,32,1,1,1,1669293674,1,2
446,31016,632007124,2,2,"[{'mechanical': 2}, {'ebike': 0}]",31,31,1,1,1,1669293552,2,0
447,51003,977206088,23,23,"[{'mechanical': 22}, {'ebike': 1}]",6,6,1,1,1,1669293689,22,1
